"COUNTRY","Country","INDICATOR","Indicator","YEAR","Year","Value","Flag Codes","Flags"
"AUS","Australia","IND-ECO-EXP-TRAN","Share of household expenditure for transport in total household expenditure","2014","2014",10.2,,
"AUS","Australia","IND-ECO-EXP-TRAN","Share of household expenditure for transport in total household expenditure","2015","2015",10,,
"AUS","Australia","IND-ECO-EXP-VEH","Share of household expenditure for purchase of vehicles in total household expenditure for transport","2000","2000",30.4,,
"AUS","Australia","IND-ECO-EXP-VEH","Share of household expenditure for purchase of vehicles in total household expenditure for transport","2001","2001",30.6,,
"AUS","Australia","IND-ECO-EXP-VEH","Share of household expenditure for purchase of vehicles in total household expenditure for transport","2002","2002",30.4,,
"AUS","Australia","IND-ECO-EXP-VEH","Share of household expenditure for purchase of vehicles in total household expenditure for transport","2003","2003",30.4,,
"AUS","Australia","IND-ECO-EXP-VEH","Share of household expenditure for purchase of vehicles in total household expenditure for transport","2004","2004",28.1,,
"AUS","Australia","IND-ECO-EXP-VEH","Share of household expenditure for purchase of vehicles in total household expenditure for transport","2005","2005",26.4,,
"AUS","Australia","IND-ECO-EXP-VEH","Share of household expenditure for purchase of vehicles in total household expenditure for transport","2006","2006",25.6,,
"AUS","Australia","IND-ECO-EXP-VEH","Share of household expenditure for purchase of vehicles in total household expenditure for transport","2007","2007",24.1,,
"AUS","Australia","IND-ECO-EXP-VEH","Share of household expenditure for purchase of vehicles in total household expenditure for transport","2008","2008",20.1,,
"AUS","Australia","IND-ECO-EXP-VEH","Share of household expenditure for purchase of vehicles in total household expenditure for transport","2009","2009",20.3,,
"AUS","Australia","IND-ECO-EXP-VEH","Share of household expenditure for purchase of vehicles in total household expenditure for transport","2010","2010",18.8,,
"AUS","Australia","IND-ECO-EXP-VEH","Share of household expenditure for purchase of vehicles in total household expenditure for transport","2011","2011",18.7,,
"AUS","Australia","IND-ECO-EXP-VEH","Share of household expenditure for purchase of vehicles in total household expenditure for transport","2012","2012",20.1,,
"AUS","Australia","IND-ECO-EXP-VEH","Share of household expenditure for purchase of vehicles in total household expenditure for transport","2013","2013",19.5,,
"AUS","Australia","IND-ECO-EXP-VEH","Share of household expenditure for purchase of vehicles in total household expenditure for transport","2014","2014",20,,
"AUS","Australia","IND-ECO-EXP-VEH","Share of household expenditure for purchase of vehicles in total household expenditure for transport","2015","2015",19.8,,
"AUS","Australia","IND-ECO-EXP-EQUI","Share of household expenditure for operation of personal transport equipment in total household expenditure for transport","2000","2000",47.7,,
"AUS","Australia","IND-ECO-EXP-EQUI","Share of household expenditure for operation of personal transport equipment in total household expenditure for transport","2001","2001",47.6,,
"AUS","Australia","IND-ECO-EXP-EQUI","Share of household expenditure for operation of personal transport equipment in total household expenditure for transport","2002","2002",47.2,,
"AUS","Australia","IND-ECO-EXP-EQUI","Share of household expenditure for operation of personal transport equipment in total household expenditure for transport","2003","2003",47.2,,
"AUS","Australia","IND-ECO-EXP-EQUI","Share of household expenditure for operation of personal transport equipment in total household expenditure for transport","2004","2004",48.7,,
"AUS","Australia","IND-ECO-EXP-EQUI","Share of household expenditure for operation of personal transport equipment in total household expenditure for transport","2005","2005",49,,
"AUS","Australia","IND-ECO-EXP-EQUI","Share of household expenditure for operation of personal transport equipment in total household expenditure for transport","2006","2006",48,,
"AUS","Australia","IND-ECO-EXP-EQUI","Share of household expenditure for operation of personal transport equipment in total household expenditure for transport","2007","2007",48.2,,
"AUS","Australia","IND-ECO-EXP-EQUI","Share of household expenditure for operation of personal transport equipment in total household expenditure for transport","2008","2008",51.2,,
"AUS","Australia","IND-ECO-EXP-EQUI","Share of household expenditure for operation of personal transport equipment in total household expenditure for transport","2009","2009",51.2,,
"AUS","Australia","IND-ECO-EXP-EQUI","Share of household expenditure for operation of personal transport equipment in total household expenditure for transport","2010","2010",51.4,,
"AUS","Australia","IND-ECO-EXP-EQUI","Share of household expenditure for operation of personal transport equipment in total household expenditure for transport","2011","2011",50.5,,
"AUS","Australia","IND-ECO-EXP-EQUI","Share of household expenditure for operation of personal transport equipment in total household expenditure for transport","2012","2012",50.2,,
"AUS","Australia","IND-ECO-EXP-EQUI","Share of household expenditure for operation of personal transport equipment in total household expenditure for transport","2013","2013",50.8,,
"AUS","Australia","IND-ECO-EXP-EQUI","Share of household expenditure for operation of personal transport equipment in total household expenditure for transport","2014","2014",49.6,,
"AUS","Australia","IND-ECO-EXP-EQUI","Share of household expenditure for operation of personal transport equipment in total household expenditure for transport","2015","2015",49.3,,
"AUS","Australia","IND-ECO-EXP-SERV","Share of household expenditure for transport services in total household expenditure for transport","2000","2000",21.9,,
"AUS","Australia","IND-ECO-EXP-SERV","Share of household expenditure for transport services in total household expenditure for transport","2001","2001",21.9,,
"AUS","Australia","IND-ECO-EXP-SERV","Share of household expenditure for transport services in total household expenditure for transport","2002","2002",22.4,,
"AUS","Australia","IND-ECO-EXP-SERV","Share of household expenditure for transport services in total household expenditure for transport","2003","2003",22.5,,
"AUS","Australia","IND-ECO-EXP-SERV","Share of household expenditure for transport services in total household expenditure for transport","2004","2004",23.2,,
"AUS","Australia","IND-ECO-EXP-SERV","Share of household expenditure for transport services in total household expenditure for transport","2005","2005",24.5,,
"AUS","Australia","IND-ECO-EXP-SERV","Share of household expenditure for transport services in total household expenditure for transport","2006","2006",26.3,,
"AUS","Australia","IND-ECO-EXP-SERV","Share of household expenditure for transport services in total household expenditure for transport","2007","2007",27.6,,
"AUS","Australia","IND-ECO-EXP-SERV","Share of household expenditure for transport services in total household expenditure for transport","2008","2008",28.7,,
"AUS","Australia","IND-ECO-EXP-SERV","Share of household expenditure for transport services in total household expenditure for transport","2009","2009",28.5,,
"AUS","Australia","IND-ECO-EXP-SERV","Share of household expenditure for transport services in total household expenditure for transport","2010","2010",29.8,,
"AUS","Australia","IND-ECO-EXP-SERV","Share of household expenditure for transport services in total household expenditure for transport","2011","2011",30.8,,
"AUS","Australia","IND-ECO-EXP-SERV","Share of household expenditure for transport services in total household expenditure for transport","2012","2012",29.8,,
"AUS","Australia","IND-ECO-EXP-SERV","Share of household expenditure for transport services in total household expenditure for transport","2013","2013",29.7,,
"AUS","Australia","IND-ECO-EXP-SERV","Share of household expenditure for transport services in total household expenditure for transport","2014","2014",30.4,,
"AUS","Australia","IND-ECO-EXP-SERV","Share of household expenditure for transport services in total household expenditure for transport","2015","2015",30.9,,
"AUS","Australia","IND-ECO-EMPL","Share of employment in the transport sector","2000","2000",6.5,,
"AUS","Australia","IND-ECO-EMPL","Share of employment in the transport sector","2001","2001",6.5,,
"AUS","Australia","IND-ECO-EMPL","Share of employment in the transport sector","2002","2002",6.1,,
"AUS","Australia","IND-ECO-EMPL","Share of employment in the transport sector","2003","2003",6.3,,
"AUS","Australia","IND-ECO-EMPL","Share of employment in the transport sector","2004","2004",6.3,,
"AUS","Australia","IND-ECO-EMPL","Share of employment in the transport sector","2005","2005",6.4,,
"AUS","Australia","IND-ECO-EMPL","Share of employment in the transport sector","2006","2006",6.3,,
"AUS","Australia","IND-ECO-EMPL","Share of employment in the transport sector","2007","2007",6.4,,
"AUS","Australia","IND-ECO-EMPL","Share of employment in the transport sector","2008","2008",6.5,,
"AUS","Australia","IND-ECO-EMPL","Share of employment in the transport sector","2009","2009",6.6,,
"AUS","Australia","IND-ECO-EMPL","Share of employment in the transport sector","2010","2010",6.3,,
"AUS","Australia","IND-ECO-EMPL","Share of employment in the transport sector","2011","2011",6.3,,
"AUS","Australia","IND-ECO-EMPL","Share of employment in the transport sector","2012","2012",6.1,,
"AUS","Australia","IND-ECO-VA","Share of value added by the transport sector","2000","2000",5,,
"AUS","Australia","IND-ECO-VA","Share of value added by the transport sector","2001","2001",5,,
"AUS","Australia","IND-ECO-VA","Share of value added by the transport sector","2002","2002",5.1,,
"AUS","Australia","IND-ECO-VA","Share of value added by the transport sector","2003","2003",5.1,,
"AUS","Australia","IND-ECO-VA","Share of value added by the transport sector","2004","2004",5.3,,
"AUS","Australia","IND-ECO-VA","Share of value added by the transport sector","2005","2005",5.1,,
"AUS","Australia","IND-ECO-VA","Share of value added by the transport sector","2006","2006",5.4,,
"AUS","Australia","IND-ECO-VA","Share of value added by the transport sector","2007","2007",5.3,,
"AUS","Australia","IND-ECO-VA","Share of value added by the transport sector","2008","2008",5,,
"AUS","Australia","IND-ECO-VA","Share of value added by the transport sector","2009","2009",5,,
"AUS","Australia","IND-ECO-VA","Share of value added by the transport sector","2010","2010",5,,
"AUS","Australia","IND-ECO-VA","Share of value added by the transport sector","2011","2011",5.1,,
"AUS","Australia","IND-ECO-VA","Share of value added by the transport sector","2012","2012",5.2,,
"AUS","Australia","IND-ECO-VA","Share of value added by the transport sector","2013","2013",5.1,,
"AUS","Australia","IND-ECO-VA","Share of value added by the transport sector","2014","2014",5.1,,
"AUS","Australia","IND-ECO-VA","Share of value added by the transport sector","2015","2015",5.3,,
"AUT","Austria","IND-ECO-EXP-TRAN","Share of household expenditure for transport in total household expenditure","2000","2000",13.1,,
"AUT","Austria","IND-ECO-EXP-TRAN","Share of household expenditure for transport in total household expenditure","2001","2001",12.7,,
"AUT","Austria","IND-ECO-EXP-TRAN","Share of household expenditure for transport in total household expenditure","2002","2002",12.9,,
"AUT","Austria","IND-ECO-EXP-TRAN","Share of household expenditure for transport in total household expenditure","2003","2003",13.1,,
"AUT","Austria","IND-ECO-EXP-TRAN","Share of household expenditure for transport in total household expenditure","2004","2004",13.2,,
"AUT","Austria","IND-ECO-EXP-TRAN","Share of household expenditure for transport in total household expenditure","2005","2005",13.3,,
"AUT","Austria","IND-ECO-EXP-TRAN","Share of household expenditure for transport in total household expenditure","2006","2006",13.4,,
"AUT","Austria","IND-ECO-EXP-TRAN","Share of household expenditure for transport in total household expenditure","2007","2007",13.2,,
"AUT","Austria","IND-ECO-EXP-TRAN","Share of household expenditure for transport in total household expenditure","2008","2008",13.3,,
"AUT","Austria","IND-ECO-EXP-TRAN","Share of household expenditure for transport in total household expenditure","2009","2009",12.8,,
"AUT","Austria","IND-ECO-EXP-TRAN","Share of household expenditure for transport in total household expenditure","2010","2010",13,,
"AUT","Austria","IND-ECO-EXP-TRAN","Share of household expenditure for transport in total household expenditure","2011","2011",13.4,,
"AUT","Austria","IND-ECO-EXP-TRAN","Share of household expenditure for transport in total household expenditure","2012","2012",13.2,,
"AUT","Austria","IND-ECO-EXP-TRAN","Share of household expenditure for transport in total household expenditure","2013","2013",12.7,,
"AUT","Austria","IND-ECO-EXP-TRAN","Share of household expenditure for transport in total household expenditure","2014","2014",12.1,,
"AUT","Austria","IND-ECO-EXP-TRAN","Share of household expenditure for transport in total household expenditure","2015","2015",11.7,,
"AUT","Austria","IND-ECO-EXP-VEH","Share of household expenditure for purchase of vehicles in total household expenditure for transport","2000","2000",31.7,,
"AUT","Austria","IND-ECO-EXP-VEH","Share of household expenditure for purchase of vehicles in total household expenditure for transport","2001","2001",31.5,,
"AUT","Austria","IND-ECO-EXP-VEH","Share of household expenditure for purchase of vehicles in total household expenditure for transport","2002","2002",30.3,,
"AUT","Austria","IND-ECO-EXP-VEH","Share of household expenditure for purchase of vehicles in total household expenditure for transport","2003","2003",31.3,,
"AUT","Austria","IND-ECO-EXP-VEH","Share of household expenditure for purchase of vehicles in total household expenditure for transport","2004","2004",31.2,,
"AUT","Austria","IND-ECO-EXP-VEH","Share of household expenditure for purchase of vehicles in total household expenditure for transport","2005","2005",29.7,,
"AUT","Austria","IND-ECO-EXP-VEH","Share of household expenditure for purchase of vehicles in total household expenditure for transport","2006","2006",29.1,,
"AUT","Austria","IND-ECO-EXP-VEH","Share of household expenditure for purchase of vehicles in total household expenditure for transport","2007","2007",27.9,,
"AUT","Austria","IND-ECO-EXP-VEH","Share of household expenditure for purchase of vehicles in total household expenditure for transport","2008","2008",26.9,,
"AUT","Austria","IND-ECO-EXP-VEH","Share of household expenditure for purchase of vehicles in total household expenditure for transport","2009","2009",29.9,,
"AUT","Austria","IND-ECO-EXP-VEH","Share of household expenditure for purchase of vehicles in total household expenditure for transport","2010","2010",27.2,,
"AUT","Austria","IND-ECO-EXP-VEH","Share of household expenditure for purchase of vehicles in total household expenditure for transport","2011","2011",27.1,,
"AUT","Austria","IND-ECO-EXP-VEH","Share of household expenditure for purchase of vehicles in total household expenditure for transport","2012","2012",25.9,,
"AUT","Austria","IND-ECO-EXP-VEH","Share of household expenditure for purchase of vehicles in total household expenditure for transport","2013","2013",24.9,,
"AUT","Austria","IND-ECO-EXP-VEH","Share of household expenditure for purchase of vehicles in total household expenditure for transport","2014","2014",25.7,,
"AUT","Austria","IND-ECO-EXP-VEH","Share of household expenditure for purchase of vehicles in total household expenditure for transport","2015","2015",26.5,,
"AUT","Austria","IND-ECO-EXP-EQUI","Share of household expenditure for operation of personal transport equipment in total household expenditure for transport","2000","2000",51.5,,
"AUT","Austria","IND-ECO-EXP-EQUI","Share of household expenditure for operation of personal transport equipment in total household expenditure for transport","2001","2001",51.5,,
"AUT","Austria","IND-ECO-EXP-EQUI","Share of household expenditure for operation of personal transport equipment in total household expenditure for transport","2002","2002",52.5,,
"AUT","Austria","IND-ECO-EXP-EQUI","Share of household expenditure for operation of personal transport equipment in total household expenditure for transport","2003","2003",51.8,,
"AUT","Austria","IND-ECO-EXP-EQUI","Share of household expenditure for operation of personal transport equipment in total household expenditure for transport","2004","2004",51.8,,
"AUT","Austria","IND-ECO-EXP-EQUI","Share of household expenditure for operation of personal transport equipment in total household expenditure for transport","2005","2005",53.3,,
"AUT","Austria","IND-ECO-EXP-EQUI","Share of household expenditure for operation of personal transport equipment in total household expenditure for transport","2006","2006",53.7,,
"AUT","Austria","IND-ECO-EXP-EQUI","Share of household expenditure for operation of personal transport equipment in total household expenditure for transport","2007","2007",54,,
"AUT","Austria","IND-ECO-EXP-EQUI","Share of household expenditure for operation of personal transport equipment in total household expenditure for transport","2008","2008",55.1,,
"AUT","Austria","IND-ECO-EXP-EQUI","Share of household expenditure for operation of personal transport equipment in total household expenditure for transport","2009","2009",52.6,,
"AUT","Austria","IND-ECO-EXP-EQUI","Share of household expenditure for operation of personal transport equipment in total household expenditure for transport","2010","2010",55.6,,
"AUT","Austria","IND-ECO-EXP-EQUI","Share of household expenditure for operation of personal transport equipment in total household expenditure for transport","2011","2011",56,,
"AUT","Austria","IND-ECO-EXP-EQUI","Share of household expenditure for operation of personal transport equipment in total household expenditure for transport","2012","2012",56.6,,
"AUT","Austria","IND-ECO-EXP-EQUI","Share of household expenditure for operation of personal transport equipment in total household expenditure for transport","2013","2013",57.1,,
"AUT","Austria","IND-ECO-EXP-EQUI","Share of household expenditure for operation of personal transport equipment in total household expenditure for transport","2014","2014",55,,
"AUT","Austria","IND-ECO-EXP-EQUI","Share of household expenditure for operation of personal transport equipment in total household expenditure for transport","2015","2015",53.8,,
"AUT","Austria","IND-ECO-EXP-SERV","Share of household expenditure for transport services in total household expenditure for transport","2000","2000",16.8,,
"AUT","Austria","IND-ECO-EXP-SERV","Share of household expenditure for transport services in total household expenditure for transport","2001","2001",17,,
"AUT","Austria","IND-ECO-EXP-SERV","Share of household expenditure for transport services in total household expenditure for transport","2002","2002",17.2,,
"AUT","Austria","IND-ECO-EXP-SERV","Share of household expenditure for transport services in total household expenditure for transport","2003","2003",16.8,,
"AUT","Austria","IND-ECO-EXP-SERV","Share of household expenditure for transport services in total household expenditure for transport","2004","2004",17,,
"AUT","Austria","IND-ECO-EXP-SERV","Share of household expenditure for transport services in total household expenditure for transport","2005","2005",16.9,,
"AUT","Austria","IND-ECO-EXP-SERV","Share of household expenditure for transport services in total household expenditure for transport","2006","2006",17.2,,
"AUT","Austria","IND-ECO-EXP-SERV","Share of household expenditure for transport services in total household expenditure for transport","2007","2007",18.1,,
"AUT","Austria","IND-ECO-EXP-SERV","Share of household expenditure for transport services in total household expenditure for transport","2008","2008",18,,
"AUT","Austria","IND-ECO-EXP-SERV","Share of household expenditure for transport services in total household expenditure for transport","2009","2009",17.6,,
"AUT","Austria","IND-ECO-EXP-SERV","Share of household expenditure for transport services in total household expenditure for transport","2010","2010",17.2,,
"AUT","Austria","IND-ECO-EXP-SERV","Share of household expenditure for transport services in total household expenditure for transport","2011","2011",16.9,,
"AUT","Austria","IND-ECO-EXP-SERV","Share of household expenditure for transport services in total household expenditure for transport","2012","2012",17.5,,
"AUT","Austria","IND-ECO-EXP-SERV","Share of household expenditure for transport services in total household expenditure for transport","2013","2013",18,,
"AUT","Austria","IND-ECO-EXP-SERV","Share of household expenditure for transport services in total household expenditure for transport","2014","2014",19.3,,
"AUT","Austria","IND-ECO-EXP-SERV","Share of household expenditure for transport services in total household expenditure for transport","2015","2015",19.8,,
"AUT","Austria","IND-ECO-EMPL","Share of employment in the transport sector","2000","2000",6.6,,
"AUT","Austria","IND-ECO-EMPL","Share of employment in the transport sector","2001","2001",6.8,,
"AUT","Austria","IND-ECO-EMPL","Share of employment in the transport sector","2002","2002",6.6,,
"AUT","Austria","IND-ECO-EMPL","Share of employment in the transport sector","2003","2003",6.3,,
"AUT","Austria","IND-ECO-EMPL","Share of employment in the transport sector","2004","2004",5.1,,
"AUT","Austria","IND-ECO-EMPL","Share of employment in the transport sector","2005","2005",5.1,,
"AUT","Austria","IND-ECO-EMPL","Share of employment in the transport sector","2006","2006",5,,
"AUT","Austria","IND-ECO-EMPL","Share of employment in the transport sector","2007","2007",4.8,,
"AUT","Austria","IND-ECO-EMPL","Share of employment in the transport sector","2008","2008",4.8,,
"AUT","Austria","IND-ECO-EMPL","Share of employment in the transport sector","2009","2009",4.8,,
"AUT","Austria","IND-ECO-EMPL","Share of employment in the transport sector","2010","2010",4.7,,
"AUT","Austria","IND-ECO-EMPL","Share of employment in the transport sector","2011","2011",4.9,,
"AUT","Austria","IND-ECO-EMPL","Share of employment in the transport sector","2012","2012",5,,
"AUT","Austria","IND-ECO-EMPL","Share of employment in the transport sector","2013","2013",5.2,,
"AUT","Austria","IND-ECO-EMPL","Share of employment in the transport sector","2014","2014",4.9,,
"AUT","Austria","IND-ECO-EMPL","Share of employment in the transport sector","2015","2015",5,,
"AUT","Austria","IND-ECO-VA","Share of value added by the transport sector","2000","2000",5.8,,
"AUT","Austria","IND-ECO-VA","Share of value added by the transport sector","2001","2001",5.6,,
"AUT","Austria","IND-ECO-VA","Share of value added by the transport sector","2002","2002",5.8,,
"AUT","Austria","IND-ECO-VA","Share of value added by the transport sector","2003","2003",5.7,,
"AUT","Austria","IND-ECO-VA","Share of value added by the transport sector","2004","2004",5.7,,
"AUT","Austria","IND-ECO-VA","Share of value added by the transport sector","2005","2005",5.7,,
"AUT","Austria","IND-ECO-VA","Share of value added by the transport sector","2006","2006",5.7,,
"AUT","Austria","IND-ECO-VA","Share of value added by the transport sector","2007","2007",5.7,,
"AUT","Austria","IND-ECO-VA","Share of value added by the transport sector","2008","2008",5.7,,
"AUT","Austria","IND-ECO-VA","Share of value added by the transport sector","2009","2009",5.7,,
"AUT","Austria","IND-ECO-VA","Share of value added by the transport sector","2010","2010",5.6,,
"AUT","Austria","IND-ECO-VA","Share of value added by the transport sector","2011","2011",5.6,,
"AUT","Austria","IND-ECO-VA","Share of value added by the transport sector","2012","2012",5.6,,
"AUT","Austria","IND-ECO-VA","Share of value added by the transport sector","2013","2013",5.6,,
"AUT","Austria","IND-ECO-VA","Share of value added by the transport sector","2014","2014",5.6,,
"AUT","Austria","IND-ECO-VA","Share of value added by the transport sector","2015","2015",5.7,,
"BEL","Belgium","IND-ECO-EXP-TRAN","Share of household expenditure for transport in total household expenditure","2000","2000",12.3,,
"BEL","Belgium","IND-ECO-EXP-TRAN","Share of household expenditure for transport in total household expenditure","2001","2001",11.8,,
"BEL","Belgium","IND-ECO-EXP-TRAN","Share of household expenditure for transport in total household expenditure","2002","2002",11.9,,
"BEL","Belgium","IND-ECO-EXP-TRAN","Share of household expenditure for transport in total household expenditure","2003","2003",11.6,,
"BEL","Belgium","IND-ECO-EXP-TRAN","Share of household expenditure for transport in total household expenditure","2004","2004",11.8,,
"BEL","Belgium","IND-ECO-EXP-TRAN","Share of household expenditure for transport in total household expenditure","2005","2005",11.8,,
"BEL","Belgium","IND-ECO-EXP-TRAN","Share of household expenditure for transport in total household expenditure","2006","2006",12.1,,
"BEL","Belgium","IND-ECO-EXP-TRAN","Share of household expenditure for transport in total household expenditure","2007","2007",11.8,,
"BEL","Belgium","IND-ECO-EXP-TRAN","Share of household expenditure for transport in total household expenditure","2008","2008",11.8,,
"BEL","Belgium","IND-ECO-EXP-TRAN","Share of household expenditure for transport in total household expenditure","2009","2009",11.3,,
"BEL","Belgium","IND-ECO-EXP-TRAN","Share of household expenditure for transport in total household expenditure","2010","2010",11.8,,
"BEL","Belgium","IND-ECO-EXP-TRAN","Share of household expenditure for transport in total household expenditure","2011","2011",12,,
"BEL","Belgium","IND-ECO-EXP-TRAN","Share of household expenditure for transport in total household expenditure","2012","2012",11.5,,
"BEL","Belgium","IND-ECO-EXP-TRAN","Share of household expenditure for transport in total household expenditure","2013","2013",11.6,,
"BEL","Belgium","IND-ECO-EXP-TRAN","Share of household expenditure for transport in total household expenditure","2014","2014",11.4,,
"BEL","Belgium","IND-ECO-EXP-TRAN","Share of household expenditure for transport in total household expenditure","2015","2015",11,,
"BEL","Belgium","IND-ECO-EXP-VEH","Share of household expenditure for purchase of vehicles in total household expenditure for transport","2000","2000",28.5,,
"BEL","Belgium","IND-ECO-EXP-VEH","Share of household expenditure for purchase of vehicles in total household expenditure for transport","2001","2001",27.7,,
"BEL","Belgium","IND-ECO-EXP-VEH","Share of household expenditure for purchase of vehicles in total household expenditure for transport","2002","2002",28.7,,
"BEL","Belgium","IND-ECO-EXP-VEH","Share of household expenditure for purchase of vehicles in total household expenditure for transport","2003","2003",28,,
"BEL","Belgium","IND-ECO-EXP-VEH","Share of household expenditure for purchase of vehicles in total household expenditure for transport","2004","2004",28.5,,
"BEL","Belgium","IND-ECO-EXP-VEH","Share of household expenditure for purchase of vehicles in total household expenditure for transport","2005","2005",27.2,,
"BEL","Belgium","IND-ECO-EXP-VEH","Share of household expenditure for purchase of vehicles in total household expenditure for transport","2006","2006",29.5,,
"BEL","Belgium","IND-ECO-EXP-VEH","Share of household expenditure for purchase of vehicles in total household expenditure for transport","2007","2007",29.1,,
"BEL","Belgium","IND-ECO-EXP-VEH","Share of household expenditure for purchase of vehicles in total household expenditure for transport","2008","2008",28.6,,
"BEL","Belgium","IND-ECO-EXP-VEH","Share of household expenditure for purchase of vehicles in total household expenditure for transport","2009","2009",29.1,,
"BEL","Belgium","IND-ECO-EXP-VEH","Share of household expenditure for purchase of vehicles in total household expenditure for transport","2010","2010",29.7,,
"BEL","Belgium","IND-ECO-EXP-VEH","Share of household expenditure for purchase of vehicles in total household expenditure for transport","2011","2011",28.7,,
"BEL","Belgium","IND-ECO-EXP-VEH","Share of household expenditure for purchase of vehicles in total household expenditure for transport","2012","2012",26.1,,
"BEL","Belgium","IND-ECO-EXP-VEH","Share of household expenditure for purchase of vehicles in total household expenditure for transport","2013","2013",26.4,,
"BEL","Belgium","IND-ECO-EXP-VEH","Share of household expenditure for purchase of vehicles in total household expenditure for transport","2014","2014",26.8,,
"BEL","Belgium","IND-ECO-EXP-VEH","Share of household expenditure for purchase of vehicles in total household expenditure for transport","2015","2015",27.5,,
"BEL","Belgium","IND-ECO-EXP-EQUI","Share of household expenditure for operation of personal transport equipment in total household expenditure for transport","2000","2000",61.6,,
"BEL","Belgium","IND-ECO-EXP-EQUI","Share of household expenditure for operation of personal transport equipment in total household expenditure for transport","2001","2001",63.3,,
"BEL","Belgium","IND-ECO-EXP-EQUI","Share of household expenditure for operation of personal transport equipment in total household expenditure for transport","2002","2002",62.4,,
"BEL","Belgium","IND-ECO-EXP-EQUI","Share of household expenditure for operation of personal transport equipment in total household expenditure for transport","2003","2003",63,,
"BEL","Belgium","IND-ECO-EXP-EQUI","Share of household expenditure for operation of personal transport equipment in total household expenditure for transport","2004","2004",62.5,,
"BEL","Belgium","IND-ECO-EXP-EQUI","Share of household expenditure for operation of personal transport equipment in total household expenditure for transport","2005","2005",63.6,,
"BEL","Belgium","IND-ECO-EXP-EQUI","Share of household expenditure for operation of personal transport equipment in total household expenditure for transport","2006","2006",61.3,,
"BEL","Belgium","IND-ECO-EXP-EQUI","Share of household expenditure for operation of personal transport equipment in total household expenditure for transport","2007","2007",61.2,,
"BEL","Belgium","IND-ECO-EXP-EQUI","Share of household expenditure for operation of personal transport equipment in total household expenditure for transport","2008","2008",61.9,,
"BEL","Belgium","IND-ECO-EXP-EQUI","Share of household expenditure for operation of personal transport equipment in total household expenditure for transport","2009","2009",60.8,,
"BEL","Belgium","IND-ECO-EXP-EQUI","Share of household expenditure for operation of personal transport equipment in total household expenditure for transport","2010","2010",60.6,,
