Greek Translation (Google Translate),Positive,Negative,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust
συμφωνία,0,0,0,0,0,0,0,0,0,0
ακορντεόν,0,0,0,0,0,0,0,0,0,0
λογαριασμός,0,0,0,0,0,0,0,0,0,1
ευθύνη,1,0,0,0,0,0,0,0,0,1
υπεύθυνος,1,0,0,0,0,0,0,0,0,1
λογιστής,0,0,0,0,0,0,0,0,0,1
λογιστική,0,0,0,0,0,0,0,0,0,0
λογαριασμών,0,0,0,0,0,0,0,0,0,1
διαπιστευμένος,1,0,0,0,0,0,0,0,0,1
επικάθηση,0,0,0,0,0,0,0,0,0,0
αυξάνω,0,0,0,0,0,0,0,0,0,0
accueil,1,0,0,0,0,0,0,0,0,0
συσσωρεύω,0,0,0,0,0,0,0,0,0,0
συσσώρευση,0,0,0,0,0,0,0,0,0,0
ακρίβεια,0,0,0,0,0,0,0,0,0,0
ακριβής,1,0,0,0,0,0,0,0,0,1
αθεόφοβος,0,1,1,0,0,1,0,1,0,0
κατηγορία,0,1,1,0,1,0,0,0,0,0
αιτιατική,0,1,0,0,0,0,0,0,0,0
κατηγορούμενος,0,1,1,0,0,1,0,0,0,0
κατήγορος,0,1,1,0,0,1,0,0,0,0
κατηγορώντας,0,1,1,0,0,1,0,0,0,0
συνηθισμένος,0,0,0,0,0,0,0,0,0,0
άσσος,1,0,0,0,0,0,0,0,0,0
οξικός,0,0,0,0,0,0,0,0,0,0
πόνος,0,1,0,0,0,0,0,1,0,0
κατορθώνω,1,0,0,0,0,0,1,0,0,1
κατόρθωμα,1,0,0,1,0,0,1,0,0,1
οδυνηρός,0,1,0,0,0,0,0,1,0,0
οξύ,0,1,0,0,0,0,0,0,0,0
οξύτητα,0,0,0,0,0,0,0,0,0,0
αναγνωρίζω,0,0,0,0,0,0,0,0,0,0
αναγνώρισε,0,0,0,0,0,0,0,0,0,0
αναγνώριση,1,0,0,0,0,0,0,0,0,0
ακμή,0,0,0,0,0,0,0,0,0,0
ακουστικός,0,0,0,0,0,0,0,0,0,0
ακουστική,0,0,0,0,0,0,0,0,0,0
κάνω γνωστό,0,0,0,0,0,0,0,0,0,0
γνωριμία,0,0,0,0,0,0,0,0,0,0
γνωστός,0,0,0,0,0,0,0,0,0,0
συναίνεση,0,0,0,0,0,0,0,0,0,0
αποκτώ,1,0,0,0,0,0,0,0,0,0
απόκτησης,1,0,0,1,0,0,0,0,0,0
απόκτηση,0,0,0,0,0,0,0,0,0,0
εξαγορές,0,0,0,0,0,0,0,0,0,0
έμβαδο στρεμμάτων,0,0,0,0,0,0,0,0,0,0
στρέμματα,0,0,0,0,0,0,0,0,0,0
ακροβάτης,1,0,0,0,0,1,1,0,0,1
πράξη,0,0,0,0,0,0,0,0,0,0
ηθοποιία,0,0,0,0,0,0,0,0,0,0
δράση,1,0,0,0,0,0,0,0,0,0
δικάσιμος,0,1,1,0,1,0,0,0,0,0
ενεργός,0,0,0,0,0,0,0,0,0,0
δραστηριότητα,0,0,0,0,0,0,0,0,0,0
ηθοποιός,0,0,0,0,0,0,0,0,0,0
πραγματικός,1,0,0,0,0,0,0,0,0,0
πραγματικότητα,0,0,0,0,0,0,0,0,0,0
αναλογιστής,0,0,0,0,0,0,0,0,0,0
οξύτητα,1,0,0,0,0,0,0,0,0,0
οξύνοια,1,0,0,0,0,0,0,0,0,0
βελονισμός,0,0,0,0,0,0,0,0,0,0
οξεία,0,0,0,0,0,0,0,0,0,0
παροιμία,0,0,0,0,0,0,0,0,0,0
αμετάπειστος,0,0,0,0,0,0,0,0,0,0
προσαρμόζω,1,0,0,0,0,0,0,0,0,0
προσαρμόσιμος,1,0,0,0,0,0,0,0,0,0
προσθέτω,0,0,0,0,0,0,0,0,0,0
προστέθηκε,0,0,0,0,0,0,0,0,0,0
προσθήκη,0,0,0,0,0,0,0,0,0,0
αθροιστής,0,1,1,0,1,1,0,1,0,0
εθισμός,0,1,0,0,0,0,0,0,0,0
πρόσθεση,0,0,0,0,0,0,0,0,0,0
επιπλέον,0,0,0,0,0,0,0,0,0,0
πρόσθετος,0,0,0,0,0,0,0,0,0,0
διεύθυνση,0,0,0,0,0,0,0,0,0,0
αποδέκτης,0,0,0,0,0,0,0,0,0,0
διευθύνσεις,1,0,0,1,0,0,0,0,0,0
έμπειρος,1,0,0,0,0,0,0,0,0,0
επάρκεια,1,0,0,0,0,0,0,0,0,0
επαρκής,0,0,0,0,0,0,0,0,0,0
εμμένω,0,0,0,0,0,0,0,0,0,0
προσκόλληση,0,0,0,0,0,0,0,0,0,0
οπαδός,0,0,0,0,0,0,0,0,0,0
τήρηση,0,0,0,0,0,0,0,0,0,1
προσκόλληση,0,0,0,0,0,0,0,0,0,0
συγκολλητικός,0,0,0,0,0,0,0,0,0,0
αντίο,0,0,0,0,0,0,0,0,0,0
λιπώδης,0,1,0,0,0,0,0,0,0,0
γειτνίαση,0,0,0,0,0,0,0,0,0,0
γειτονικός,0,0,0,0,0,0,0,0,0,0
επίθετο,0,0,0,0,0,0,0,0,0,0
παρακείμενα,0,0,0,0,0,0,0,0,0,0
διακόπτω,0,0,0,0,0,0,0,0,0,0
αναβολή,0,0,0,0,0,0,0,0,0,0
επιδικάζω,0,1,0,0,0,1,0,0,0,0
επιδίκαση,0,0,0,0,0,0,0,0,0,0
παρεπόμενο,1,0,0,0,0,0,0,0,0,0
προσαρμόζω,0,0,0,0,0,0,0,0,0,0
προσαρμογή,0,0,0,0,0,0,0,0,0,0
ανοσοενισχυτικό,0,0,0,0,0,0,0,0,0,0
διαχειρίζομαι,0,0,0,0,0,0,0,0,0,0
διαχείριση,0,0,0,0,0,0,0,0,0,0
διοικητικός,0,0,0,0,0,0,0,0,0,1
θαυμαστός,1,0,0,0,0,0,1,0,0,1
ναύαρχος,1,0,0,0,0,0,0,0,0,1
ναυαρχείο,0,0,0,0,0,0,0,0,0,0
θαυμασμός,1,0,0,0,0,0,1,0,0,1
θαυμάζω,1,0,0,0,0,0,0,0,0,1
θαυμαστής,1,0,0,0,0,0,0,0,0,0
δυνατότητα παραδοχής,0,0,0,0,0,0,0,0,0,0
αποδεκτός,1,0,0,0,0,0,0,0,0,1
είσοδος,0,0,0,0,0,0,0,0,0,0
ομολογώ,0,0,0,0,0,0,0,0,0,0
είσοδος,0,0,0,0,0,0,0,0,0,0
παράδεκτος,0,0,0,0,0,0,0,0,0,0
εισδοχής,0,0,0,0,0,0,0,0,0,0
μίγμα,0,0,0,0,0,0,0,0,0,0
νουθεσία,0,1,0,0,0,1,0,0,0,0
φασαρία,0,0,0,0,0,0,0,0,0,0
πλίθα,0,0,0,0,0,0,0,0,0,0
εφηβική ηλικία,0,0,0,0,0,0,0,0,0,0
έφηβος,0,0,0,0,0,0,0,0,0,0
ενστερνίζομαι,0,0,0,0,0,0,0,0,0,0
υιοθέτηση,0,0,0,0,0,0,0,0,0,0
λατρευτός,1,0,0,0,0,0,1,0,0,0
λατρεία,1,0,0,0,0,0,1,0,0,1
λατρεύω,1,0,0,1,0,0,1,0,0,1
στολίζω,0,0,0,0,0,0,0,0,0,0
στολίδι,0,0,0,0,0,0,0,0,0,0
ανεμοδαρμένος,0,1,0,1,0,1,0,1,0,0
ενήλικας,0,0,0,0,0,0,0,0,0,0
νοθευμένο,0,1,0,0,0,0,0,0,0,0
μοιχεία,0,1,0,0,1,0,0,1,0,0
προκαταβολή,1,0,0,1,0,1,1,0,1,0
προχωρημένος,1,0,0,0,0,0,0,0,0,0
προαγωγή,1,0,0,0,0,0,0,0,0,0
προώθηση,0,0,0,0,0,0,0,0,0,0
πλεονέκτημα,1,0,0,0,0,0,0,0,0,0
επωφελής,1,0,0,0,0,0,0,0,0,0
έλευση,1,0,0,1,0,0,1,0,0,1
περιπέτεια,1,0,0,1,0,0,0,0,0,0
τυχοδιώκτης,0,0,0,0,0,0,0,0,0,0
παράτολμος,1,0,0,0,0,0,0,0,0,0
αντίπαλος,0,1,1,0,0,0,0,0,0,0
δυσμενής,0,1,1,0,1,1,0,1,0,0
αντιξοότητα,0,1,1,0,0,1,0,1,0,0
διαφημίζω,0,0,0,0,0,0,0,0,0,0
διαφήμιση,0,0,0,0,0,0,0,0,0,0
συμβουλή,0,0,0,0,0,0,0,0,0,1
ορθός,1,0,0,0,0,0,0,0,0,1
συμβουλεύω,1,0,0,0,0,0,0,0,0,1
ενημέρωσε,0,0,0,0,0,0,0,0,0,1
μελέτη,0,0,0,0,0,0,0,0,0,0
σύμβουλος,1,0,0,0,0,0,0,0,0,1
υπεράσπιση,1,0,1,1,0,0,1,0,0,1
συνήγορος,0,0,0,0,0,0,0,0,0,1
σκέπη,0,0,0,0,0,0,0,0,0,0
εξαερισμός,0,0,0,0,0,0,0,0,0,0
εναέριος,0,0,0,0,0,0,0,0,0,0
αεροδρόμιο,0,0,0,0,0,0,0,0,0,0
αεροδυναμική,0,0,0,0,0,0,0,0,0,0
αεροναυτική,0,0,0,0,0,0,0,0,0,0
αεροπλάνο,0,0,0,0,0,0,0,0,0,0
αισθητικός,1,0,0,0,0,0,0,0,0,0
αισθητική,1,0,0,0,0,0,1,0,0,0
αιτιολογία,0,0,0,0,0,0,0,0,0,0
μακρυά,0,0,0,0,0,0,0,0,0,0
καταδεκτικός,1,0,0,0,0,0,0,0,0,0
υπόθεση,0,0,0,0,0,0,0,0,0,0
συγκινητικός,0,0,0,0,0,0,0,0,0,0
αγάπη,1,0,0,0,0,0,1,0,0,1
αγάπες,0,0,0,0,0,0,0,0,0,0
Affiche,0,0,0,0,0,0,0,0,0,0
ένορκη βεβαίωση,0,0,0,0,0,0,0,0,0,0
συνδεδεμένες,1,0,0,0,0,0,0,0,0,0
δεσμός,0,0,0,0,0,0,0,0,0,0
συγγένεια,0,0,0,0,0,0,0,0,0,0
βεβαιώνω,1,0,0,0,0,0,0,0,0,1
επιβεβαίωση,1,0,0,0,0,0,0,0,0,0
καταφατικός,1,0,0,0,0,0,0,0,0,0
καταφατικά,1,0,0,0,0,0,0,0,0,1
πρόσφυμα,0,0,0,0,0,0,0,0,0,0
βασανίζω,0,1,0,0,0,1,0,1,0,0
στενοχωρούνται,0,1,0,0,0,0,0,0,0,0
θλίψη,0,1,0,0,1,1,0,1,0,0
αφθονία,1,0,0,0,0,0,1,0,0,0
παραπόταμος,1,0,0,0,0,0,0,0,0,0
διαθέτω,1,0,0,0,0,0,0,0,0,0
προσβολή,0,1,1,0,1,1,0,1,1,0
εις τους αγρούς,0,0,0,0,0,0,0,0,0,0
προ,0,0,0,0,0,0,0,0,0,0
προαναφερθείς,0,0,0,0,0,0,0,0,0,0
προλεχθείς,0,0,0,0,0,0,0,0,0,0
φοβισμένος,0,1,0,0,0,1,0,0,0,0
εκ νέου,0,0,0,0,0,0,0,0,0,0
πίσω,0,0,0,0,0,0,0,0,0,0
συνέπεια,0,1,1,0,1,1,0,1,0,0
απόγευμα,0,0,0,0,0,0,0,0,0,0
επίγευση,0,1,0,0,0,0,0,0,0,0
δεύτερη σκέψη,0,0,0,0,0,0,0,0,0,0
αγάς,1,0,0,0,0,1,0,0,0,1
αχάτης λίθος,0,0,0,0,0,0,0,0,0,0
ηλικία,0,0,0,0,0,0,0,0,0,0
ηλικιωμένος,0,0,0,0,0,0,0,0,0,0
πρακτορείο,0,0,0,0,0,0,0,0,0,0
μέσο,0,0,0,0,0,0,0,0,0,0
συσσώρευση,0,0,0,0,0,0,0,0,0,0
επιδεινώθηκε,0,1,1,0,0,0,0,0,0,0
επιβαρυντικές,0,1,1,0,0,0,0,1,0,0
επιδείνωση,0,1,1,0,1,0,0,0,0,0
σύνολο,0,0,0,0,0,0,0,0,0,0
συσσωμάτωση,0,0,0,0,0,0,0,0,0,0
επίθεση,0,1,1,0,0,1,0,0,0,0
επιθετικός,0,1,1,0,0,1,0,0,0,0
επιδρομέας,0,1,1,0,0,1,0,0,0,0
εμβρόντητος,0,1,0,0,1,1,0,0,1,0
ευκίνητος,1,0,0,0,0,0,0,0,0,0
ευκινησία,1,0,0,0,0,0,0,0,0,0
ταραγμένος,0,1,1,0,0,0,0,0,0,0
ανακίνηση,0,1,1,0,0,0,0,0,0,0
αγνωστικιστής,0,0,0,0,0,0,0,0,0,0
πριν,0,0,0,0,0,0,0,0,0,0
αγωνιώδης,0,1,0,0,0,1,0,0,0,0
αγωνία,0,1,1,0,0,1,0,1,0,0
συμφωνώ,1,0,0,0,0,0,0,0,0,0
ευχάριστος,1,0,0,0,0,0,0,0,0,1
σύμφωνος,1,0,0,0,0,0,0,0,0,1
συμφωνώντας,1,0,0,0,0,0,0,0,0,1
συμφωνία,1,0,0,0,0,0,0,0,0,1
γεωργικός,0,0,0,0,0,0,0,0,0,0
γεωργία,1,0,0,0,0,0,0,0,0,0
καθισμένος,0,1,0,0,0,0,0,0,0,0
Agua,0,0,0,0,0,0,0,0,0,0
εμπρός,1,0,0,0,0,0,0,0,0,0
βοήθεια,1,0,0,0,0,0,0,0,0,0
υποβοήθηση,1,0,0,0,0,0,0,0,0,0
πονώ,0,1,0,0,0,0,0,1,0,0
ασθενής,0,1,0,0,0,1,0,1,0,0
ασθένεια,0,0,0,0,0,0,0,0,0,0
σκοπός,0,0,0,0,0,0,0,0,0,0
άσκοπος,0,1,0,0,0,0,0,0,0,0
αέρας,0,0,0,0,0,0,0,0,0,0
αερόσακος,0,0,0,0,0,0,0,0,0,0
αερογέφυρα,0,0,0,0,0,0,0,0,0,0
αερογραμμή,0,0,0,0,0,0,0,0,0,0
αεροπόρος,0,0,0,0,0,0,0,0,0,0
αεροπλάνο,0,0,0,0,0,0,0,0,0,0
αεροδρόμιο,0,0,0,1,0,0,0,0,0,0
αέρηδες,0,1,0,0,1,0,0,0,0,0
αεροσκάφος,0,0,0,0,0,0,0,0,0,0
διάδρομος,0,0,0,0,0,0,0,0,0,0
AIT,0,0,0,0,0,0,0,0,0,0
ημίκλειστος,0,0,0,0,0,0,0,0,0,0
συγγενής,0,0,0,0,0,0,0,0,0,1
αλαβάστρο,1,0,0,0,0,0,0,0,0,0
τρομάζω,0,1,0,0,0,1,0,0,1,0
ανησυχητικός,0,1,0,0,0,1,0,0,1,0
ALB,0,0,0,0,0,0,0,0,0,1
άλμπουμ,0,0,0,0,0,0,0,0,0,0
αλχημεία,0,0,0,0,0,0,0,0,0,0
αλκοόλ,0,0,0,0,0,0,0,0,0,0
αλκοολισμός,0,1,1,0,1,1,0,1,0,0
εσοχή,0,0,0,0,0,0,0,0,0,0
συναγερμός,0,0,0,0,0,0,0,0,0,0
ετοιμότητα,1,0,0,1,0,1,0,0,1,0
ειδοποιήσεις,0,0,0,1,0,1,0,0,1,0
αλφάλφα,0,0,0,0,0,0,0,0,0,0
άλγεβρα,0,0,0,0,0,0,0,0,0,0
αλγεβρικός,0,0,0,0,0,0,0,0,0,0
αλγόριθμος,0,0,0,0,0,0,0,0,0,0
άλλοθι,0,0,0,0,0,0,0,0,0,0
εξωγήινο,0,1,0,0,1,1,0,0,0,0
απαλλοτριώ,0,1,1,0,1,0,0,0,0,0
αποξενωμένοι,0,1,0,0,0,0,0,1,0,0
αποξένωση,0,1,1,0,1,1,0,1,0,0
αναμμένος,0,0,0,0,0,0,0,0,0,0
ευθυγραμμισμένος,0,0,0,0,0,0,0,0,0,0
ευθυγραμμία,0,0,0,0,0,0,0,0,0,0
ομοίως,0,0,0,0,0,0,0,0,0,0
θρέψη,1,0,0,0,0,0,0,0,0,0
επίδομα διατροφής,0,1,0,0,0,0,0,0,0,0
ομαλός διαιρέτης,0,0,0,0,0,0,0,0,0,0
ζωντανός,1,0,0,1,0,0,1,0,0,1
αλκαλίο,0,0,0,0,0,0,0,0,0,0
αλκαλοειδή,0,0,0,0,0,0,0,0,0,0
ανακουφίζω,1,0,0,0,0,0,0,0,0,0
ισχυρισμός,0,1,1,0,0,0,0,0,0,0
ισχυρίζομαι,0,1,0,0,0,0,0,0,0,0
υποτιθεμένος,0,0,0,0,0,0,0,0,0,0
υποταγή,1,0,0,0,0,0,0,0,0,1
αλληγορικός,0,0,0,0,0,0,0,0,0,0
αλληγορία,0,0,0,0,0,0,0,0,0,0
γοργά,1,0,0,0,0,0,0,0,0,0
ανακουφίζω,1,0,0,0,0,0,0,0,0,0
ανακούφιση,1,0,0,0,0,0,0,0,0,0
δρομάκι,0,0,0,0,0,0,0,0,0,0
ΣΥΜΜΑΧΙΑ,0,0,0,0,0,0,0,0,0,1
σύμμαχος,1,0,0,0,0,0,0,0,0,1
αλλιγάτορας,0,0,0,0,0,0,0,0,0,0
διανέμω,0,0,0,0,0,0,0,0,0,0
κατανομή,0,0,0,0,0,0,0,0,0,0
απονέμω,0,0,0,0,0,0,0,0,0,0
κατανομή,0,0,0,0,0,0,0,0,0,0
επιτρεπόμενος,1,0,0,0,0,0,0,0,0,0
επίδομα,0,0,0,0,0,0,0,0,0,0
επιτρέπονται,0,0,0,0,0,0,0,0,0,0
κράμα,0,0,0,0,0,0,0,0,0,0
δελεάζω,1,0,0,1,0,0,1,0,1,0
δελεαστικός,1,0,0,0,0,0,0,0,0,0
νύξη,0,0,0,0,0,0,0,0,0,0
αλλουβιακός,0,0,0,0,0,0,0,0,0,0
σύμμαχος,1,0,0,0,0,0,0,0,0,1
ημερολόγιο,0,0,0,0,0,0,0,0,0,0
παντοδύναμος,1,0,0,0,0,0,0,0,0,0
ψηλά,0,0,0,0,0,0,0,0,0,0
χαίρετε,1,0,0,1,0,0,1,0,0,0
κατά μήκος της πλευράς,0,0,0,0,0,0,0,0,0,0
σε απόσταση,0,1,0,0,0,0,0,0,0,0
μεγαλόφωνως,0,0,0,0,0,0,0,0,0,0
αλφάβητο,0,0,0,0,0,0,0,0,0,0
αλφαβητικός,0,0,0,0,0,0,0,0,0,0
βωμός,0,0,0,0,0,0,0,0,0,0
αλλάζω,0,0,0,0,0,0,0,0,0,0
μεταβολή,0,0,0,0,0,0,0,0,0,0
φιλονικία,0,1,1,0,0,0,0,0,0,0
αλλοιωθεί,0,0,0,0,0,0,0,0,0,0
εναλλασσόμενος,0,0,0,0,0,0,0,0,0,0
εναλλακτική λύση,0,0,0,0,0,0,0,0,0,0
υψόμετρο,0,0,0,0,0,0,0,0,0,0
κοντράλτο,0,0,0,0,0,0,0,0,0,0
εντελώς,0,0,0,0,0,0,0,0,0,0
τελειόφοιτος,0,0,0,0,0,0,0,0,0,0
φατνιακός,0,0,0,0,0,0,0,0,0,0
αμαλγάμα,0,0,0,0,0,0,0,0,0,0
συγχώνευση,0,0,0,0,0,0,0,0,0,0
συσσωρεύω,0,0,0,0,0,0,0,0,0,0
ερασιτέχνης,0,0,0,0,0,0,0,0,0,0
καταπλήσσω,0,0,0,0,0,0,0,0,1,0
έκπληξη,0,0,0,0,0,0,0,0,0,0
καταπληκτικά,1,0,0,0,0,0,1,0,1,0
πρεσβευτής,1,0,0,0,0,0,0,0,0,1
κεχριμπάρι,0,0,0,0,0,0,0,0,0,0
περιβάλλων,0,0,0,0,0,0,0,0,0,0
ασάφεια,0,0,0,0,0,0,0,0,0,0
ασαφής,0,1,0,0,0,0,0,0,0,0
περίγραμμα,0,0,0,0,0,0,0,0,0,0
φιλοδοξία,1,0,0,1,0,0,1,0,0,1
φιλόδοξος,0,0,0,0,0,0,0,0,0,0
ασθενοφόρο,0,0,0,0,0,1,0,0,0,1
ενέδρα,0,1,1,0,0,1,0,0,1,0
βελτιώνω,1,0,0,0,0,0,0,0,0,0
Αμήν,1,0,0,0,0,0,1,0,0,1
υπαγόμενος,1,0,0,0,0,0,0,0,0,0
τροποποιώ,1,0,0,0,0,0,0,0,0,0
τροπολογία,0,0,0,0,0,0,0,0,0,0
αποζημίωση,1,0,0,0,0,0,0,0,0,0
φιλοφροσύνη,1,0,0,0,0,0,0,0,0,0
αμέθυστος,0,0,0,0,0,0,0,0,0,0
ευγενικός,1,0,0,0,0,0,0,0,0,0
φιλικός,1,0,0,0,0,0,1,0,0,0
εν μέσω,0,0,0,0,0,0,0,0,0,0
ανάμεσα,0,0,0,0,0,0,0,0,0,0
αμμωνία,0,0,0,0,1,0,0,0,0,0
πυρομαχικά,0,0,0,0,0,0,0,0,0,0
αμνησία,0,1,0,0,0,0,0,0,0,0
αμνηστία,1,0,0,0,0,0,1,0,0,0
άμορφος,0,0,0,0,0,0,0,0,0,0
χρεολυσία,0,0,0,0,0,0,0,0,0,1
ποσό,0,0,0,0,0,0,0,0,0,0
ερωτοδουλιά,1,0,0,1,0,0,1,0,0,1
Ampersand,0,0,0,0,0,0,0,0,0,0
αμφεταμίνες,0,1,0,0,1,0,0,0,0,0
αμφίβιο,0,0,0,0,0,0,0,0,0,0
αμφίβιος,0,0,0,0,0,0,0,0,0,0
αμφιθέατρο,0,0,0,0,0,0,0,0,0,0
ενίσχυση,0,0,0,0,0,0,0,0,0,0
ενισχύω,0,0,0,0,0,0,0,0,0,0
πλάτος,0,0,0,0,0,0,0,0,0,0
άφθονα,0,0,0,0,0,0,0,0,0,0
ακρωτηριασμός,0,0,0,0,0,0,0,0,0,0
φυλακτό,0,0,0,0,0,0,0,0,0,0
διασκεδάζω,1,0,0,0,0,0,1,0,0,0
διασκεδάζει,1,0,0,0,0,0,1,0,0,0
διασκέδαση,1,0,0,0,0,0,1,0,0,0
διασκεδαστικός,1,0,0,0,0,0,1,0,0,0
ana,0,0,0,0,0,0,0,0,0,0
ανακόνδας,0,1,0,0,1,1,0,0,0,0
αναισθησία,0,0,0,0,0,0,0,0,0,0
αναισθητικό,0,0,0,0,0,0,0,0,0,0
πρωκτικός,0,1,0,0,0,0,0,0,0,0
αναλγητικό,0,0,0,0,0,0,0,0,0,0
ανάλογος,0,0,0,0,0,0,0,0,0,0
αναλογική,0,0,0,0,0,0,0,0,0,0
αναλογία,0,0,0,0,0,0,0,0,0,0
ανάλυση,0,0,0,0,0,0,0,0,0,0
αναλυτής,1,0,0,1,0,0,0,0,0,1
αναλυτικός,0,0,0,0,0,0,0,0,0,0
αναλύω,0,0,0,0,0,0,0,0,0,0
αναλυτής,0,0,0,0,0,0,0,0,0,0
αναρχισμός,0,1,1,0,0,1,0,0,0,0
αναρχικός,0,1,1,0,0,1,0,0,0,0
αναρχία,0,1,1,0,0,1,0,0,0,0
αναστόμωση,0,0,0,0,0,0,0,0,0,0
ανάθεμα,0,1,1,0,1,1,0,1,0,0
ανατομικός,0,0,0,0,0,0,0,0,0,0
